Term,PosScore,NegScore
sob,0.0,-0.9
spoilled,0.0,-0.9
conspiratorial,0.0,-0.9
crisis,0.0,-0.9
dismissive,0.0,-0.9
arbitrary,0.0,-0.9
recant,0.0,-0.9
topple,0.0,-0.9
discord,0.0,-0.9
brainwash,0.0,-0.9
indoctrination,0.0,-0.9
grievously,0.0,-0.9
sloppily,0.0,-0.9
tramp,0.0,-0.9
obstinately,0.0,-0.9
succumb,0.0,-0.9
unrelentingly,0.0,-0.9
strenuous,0.0,-0.9
water-down,0.0,-0.9
dissapointed,0.0,-0.9
scummy,0.0,-0.9
skeptic,0.0,-0.9
aches,0.0,-0.9
fleer,0.0,-0.9
insatiable,0.0,-0.9
tumultuous,0.0,-0.9
falsify,0.0,-0.9
turbulent,0.0,-0.9
uneasy,0.0,-0.9
instigator,0.0,-0.9
jeer,0.0,-0.9
lousy,0.0,-0.9
sickly,0.0,-0.9
symptoms,0.0,-0.9
despondent,0.0,-0.9
inoperable,0.0,-0.9
lecherous,0.0,-0.9
compulsive,0.0,-0.9
disgust,0.0,-0.9
regreted,0.0,-0.9
stalls,0.0,-0.9
unacceptablely,0.0,-0.9
rattled,0.0,-0.9
ostracize,0.0,-0.9
swelling,0.0,-0.9
impulsively,0.0,-0.9
pains,0.0,-0.9
squeaky,0.0,-0.9
wretch,0.0,-0.9
polluters,0.0,-0.9
depressing,0.0,-0.9
upheaval,0.0,-0.9
undercut,0.0,-0.9
uproar,0.0,-0.9
bulkier,0.0,-0.9
impose,0.0,-0.9
overplay,0.0,-0.9
guiltily,0.0,-0.9
nightmare,0.0,-0.9
confront,0.0,-0.9
malevolence,0.0,-0.9
disdainful,0.0,-0.9
midget,0.0,-0.9
allegations,0.0,-0.9
bellicose,0.0,-0.9
hissing,0.0,-0.9
disruptive,0.0,-0.9
emphatically,0.0,-0.9
imprecision,0.0,-0.9
brat,0.0,-0.9
immorally,0.0,-0.9
conservative,0.0,-0.9
concerned,0.0,-0.9
devastates,0.0,-0.9
limitation,0.0,-0.9
poverty,0.0,-0.9
expired,0.0,-0.9
dishonorable,0.0,-0.9
controversy,0.0,-0.9
slog,0.0,-0.9
atrocity,0.0,-0.9
dislocated,0.0,-0.9
belligerent,0.0,-0.9
insouciance,0.0,-0.9
sidetracked,0.0,-0.9
embroil,0.0,-0.9
ill-mannered,0.0,-0.9
insolence,0.0,-0.9
tumbles,0.0,-0.9
worthlessness,0.0,-0.9
flighty,0.0,-0.9
quibbles,0.0,-0.9
runaway,0.0,-0.9
servitude,0.0,-0.9
chatterbox,0.0,-0.9
miserable,0.0,-0.9
tacky,0.0,-0.9
malignant,0.0,-0.9
rebellious,0.0,-0.9
subdued,0.0,-0.9
fanatic,0.0,-0.9
stole,0.0,-0.9
ail,0.0,-0.9
drop-out,0.0,-0.9
misjudgment,0.0,-0.9
garish,0.0,-0.9
inessential,0.0,-0.9
regrettable,0.0,-0.9
bitch,0.0,-0.9
blaspheme,0.0,-0.9
obscenely,0.0,-0.9
faltered,0.0,-0.9
quitter,0.0,-0.9
rife,0.0,-0.9
disgracefully,0.0,-0.9
exagerated,0.0,-0.9
reluctantly,0.0,-0.9
blasphemous,0.0,-0.9
hedonistic,0.0,-0.9
contradiction,0.0,-0.9
astray,0.0,-0.9
rail,0.0,-0.9
goon,0.0,-0.9
regrettably,0.0,-0.9
smudged,0.0,-0.9
spitefulness,0.0,-0.9
blister,0.0,-0.9
chasten,0.0,-0.9
disapointed,0.0,-0.9
disillusioned,0.0,-0.9
flat-out,0.0,-0.9
murderer,0.0,-0.9
ridiculously,0.0,-0.9
hatred,0.0,-0.9
threatening,0.0,-0.9
lags,0.0,-0.9
raving,0.0,-0.9
top-heavy,0.0,-0.9
abnormal,0.0,-0.9
unfounded,0.0,-0.9
uncomfy,0.0,-0.9
spilling,0.0,-0.9
hothead,0.0,-0.9
donside,0.0,-0.9
wince,0.0,-0.9
cruelness,0.0,-0.9
apprehension,0.0,-0.9
smudges,0.0,-0.9
impedance,0.0,-0.9
coerce,0.0,-0.9
deviously,0.0,-0.9
inept,0.0,-0.9
bashing,0.0,-0.9
rash,0.0,-0.9
glut,0.0,-0.9
vestiges,0.0,-0.9
concerns,0.0,-0.9
contentious,0.0,-0.9
conspirator,0.0,-0.9
glibly,0.0,-0.9
shrew,0.0,-0.9
illegal,0.0,-0.9
incredulously,0.0,-0.9
viper,0.0,-0.9
obscenity,0.0,-0.9
antiquated,0.0,-0.9
reluctant,0.0,-0.9
quash,0.0,-0.9
murder,0.0,-0.9
powerless,0.0,-0.9
fascism,0.0,-0.9
timidness,0.0,-0.9
regression,0.0,-0.9
vibration,0.0,-0.9
miff,0.0,-0.9
inequalities,0.0,-0.9
showdown,0.0,-0.9
bombardment,0.0,-0.9
startle,0.0,-0.9
vengeance,0.0,-0.9
creeping,0.0,-0.9
stymied,0.0,-0.9
insults,0.0,-0.9
zealously,0.0,-0.9
impeach,0.0,-0.9
violent,0.0,-0.9
protests,0.0,-0.9
savagery,0.0,-0.9
anti-,0.0,-0.9
cheaply,0.0,-0.9
glib,0.0,-0.9
insurmountable,0.0,-0.9
agonize,0.0,-0.9
fruitlessly,0.0,-0.9
stiflingly,0.0,-0.9
hardship,0.0,-0.9
wasted,0.0,-0.9
inconveniently,0.0,-0.9
divisively,0.0,-0.9
writhe,0.0,-0.9
anti-us,0.0,-0.9
gallingly,0.0,-0.9
inconceivably,0.0,-0.9
grouchy,0.0,-0.9
crooks,0.0,-0.9
insolent,0.0,-0.9
wound,0.0,-0.9
conflict,0.0,-0.9
unprove,0.0,-0.9
flaunt,0.0,-0.9
miser,0.0,-0.9
two-faced,0.0,-0.9
mocked,0.0,-0.9
inordinate,0.0,-0.9
panick,0.0,-0.9
smell,0.0,-0.9
thoughtless,0.0,-0.9
indecently,0.0,-0.9
craftly,0.0,-0.9
rot,0.0,-0.9
stuffy,0.0,-0.9
infidels,0.0,-0.9
inhuman,0.0,-0.9
despair,0.0,-0.9
dubitable,0.0,-0.9
explode,0.0,-0.9
objectionable,0.0,-0.9
crass,0.0,-0.9
hallucinate,0.0,-0.9
failure,0.0,-0.9
fumes,0.0,-0.9
warily,0.0,-0.9
displeased,0.0,-0.9
shortsighted,0.0,-0.9
unspeakablely,0.0,-0.9
uncompromising,0.0,-0.9
distastefully,0.0,-0.9
liability,0.0,-0.9
raked,0.0,-0.9
barren,0.0,-0.9
presumptuously,0.0,-0.9
burning,0.0,-0.9
stranger,0.0,-0.9
anxiety,0.0,-0.9
craziness,0.0,-0.9
mispronounces,0.0,-0.9
pollute,0.0,-0.9
devastating,0.0,-0.9
dropout,0.0,-0.9
rampage,0.0,-0.9
bereavement,0.0,-0.9
suffering,0.0,-0.9
killjoy,0.0,-0.9
hatefulness,0.0,-0.9
overpriced,0.0,-0.9
senseless,0.0,-0.9
shemale,0.0,-0.9
capitulate,0.0,-0.9
flaw,0.0,-0.9
imbroglio,0.0,-0.9
boil,0.0,-0.9
sleazy,0.0,-0.9
morbid,0.0,-0.9
disrespecting,0.0,-0.9
superficiality,0.0,-0.9
obsolete,0.0,-0.9
disreputable,0.0,-0.9
enrage,0.0,-0.9
wreak,0.0,-0.9
revert,0.0,-0.9
overacted,0.0,-0.9
letch,0.0,-0.9
torturous,0.0,-0.9
droop,0.0,-0.9
suffered,0.0,-0.9
reviled,0.0,-0.9
delirious,0.0,-0.9
aspersions,0.0,-0.9
foolishness,0.0,-0.9
ailment,0.0,-0.9
deceitful,0.0,-0.9
exasperating,0.0,-0.9
frighten,0.0,-0.9
grieve,0.0,-0.9
convoluted,0.0,-0.9
restlessness,0.0,-0.9
reticent,0.0,-0.9
disavowal,0.0,-0.9
unjustifiably,0.0,-0.9
infested,0.0,-0.9
inordinately,0.0,-0.9
decadence,0.0,-0.9
excessive,0.0,-0.9
dope,0.0,-0.9
exacerbate,0.0,-0.9
forebodingly,0.0,-0.9
pretentious,0.0,-0.9
